Country,State,Year,Gender,Type Of Classes,"Gross Enrolment Ratio (Ger) (UOM:Ratio), Scaling Factor:1"
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),104.8
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),58
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),95.6
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),32.6
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),45.9
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),85.9
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),98.4
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),55.2
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),90
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),24.7
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),40.3
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),79.7
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),101.6
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),56.7
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),92.8
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),28.6
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),43.1
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),82.9
India,Delhi,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),
India,Delhi,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),
India,Delhi,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),
India,Delhi,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),
India,Delhi,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),
India,Delhi,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),
India,Delhi,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),
India,Delhi,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),
India,Delhi,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),
India,Delhi,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),
India,Delhi,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),
India,Delhi,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),
India,Delhi,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),
India,Delhi,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),
India,Delhi,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),
India,Delhi,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),
India,Delhi,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),
India,Delhi,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),
India,Goa,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),16011.8
