Country,State,Year,Gender,Type Of Classes,"Gross Enrolment Ratio (Ger) (UOM:Ratio), Scaling Factor:1"
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),95.4
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),141.7
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),168.6
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),126.8
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),161.7
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),60.2
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),95.2
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),148.2
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),164.5
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),126.7
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),157.8
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),58.1
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),95.2
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),144.5
India,Tripura,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),127.4
India,Tripura,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),75
India,Tripura,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),116.4
India,Tripura,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),23.2
India,Tripura,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),50.1
India,Tripura,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),101.3
India,Tripura,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),123.1
India,Tripura,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),70
India,Tripura,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),112.2
India,Tripura,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),17.1
India,Tripura,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),44.3
India,Tripura,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),96.9
India,Tripura,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),125.3
India,Tripura,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),72.6
India,Tripura,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),114.4
India,Tripura,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),20.2
India,Tripura,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),47.3
India,Tripura,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),99.1
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),849.6
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),749.4
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),832.1
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),485
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),619.8
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),782.4
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),812.3
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),489.1
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),753.2
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),306.3
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),399.1
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),685.8
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),831.5
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),618.9
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),793.5
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),395
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),509
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),735
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),142.8
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),101.1
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),134.4
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),70.9
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),86.1
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),123.9
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),137.9
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),104.7
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),131.3
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),68.1
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),85.9
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),120.3
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),140.4
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),102.8
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),132.9
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),69.5
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),86
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),122.1
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),116.9
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),60.5
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),105.2
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),35.6
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),48.5
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),93.9
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),119.7
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),62.4
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),108.2
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),24.4
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),43.7
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),94.6
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),118.2
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),61.4
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),106.7
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),30.1
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),46.2
India,West Bengal,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),94.2
