state,year,hh_self_employed_agriculture_pct,hh_self_employed_non_agriculture_pct,hh_regular_wage_salary_pct,hh_casual_labour_agriculture_pct,hh_casual_labour_non_agriculture_pct,hh_others_pct,estimated_households,sample_households
Rajasthan,2020,54.3,14.3,11.4,2.7,10.1,7.1,106806.0,2487.0
Sikkim,2020,32.3,12.7,44.5,0.0,8.7,1.8,1163.0,440.0
Tamil Nadu,2020,18.9,14.7,20.0,15.2,20.7,10.5,106702.0,3128.0
Telangana,2020,45.1,16.2,11.4,10.4,6.9,9.9,54443.0,1280.0
Dadra and Nagar Haveli and Daman and Diu,2020,5.3,21.2,66.1,0.1,0.6,6.7,559.0,128.0
Tripura,2020,29.3,25.6,11.8,8.1,19.8,5.4,6555.0,1216.0
Uttar Pradesh,2020,53.6,13.8,7.2,4.8,13.4,7.2,295354.0,5806.0
Uttarakhand,2020,39.1,21.5,14.8,2.0,9.7,12.9,16011.0,949.0
West Bengal,2020,26.2,19.6,15.2,17.3,15.3,6.4,159367.0,3120.0
Andaman and Nicobar Islands,2019,16.5,12.1,42.9,0.0,14.6,13.8,693.0,231.0
Andhra Pradesh,2019,23.2,15.0,10.9,25.3,9.2,16.4,96058.0,2168.0
Arunachal Pradesh,2019,52.6,16.1,25.7,0.7,2.3,2.5,2169.0,1080.0
Assam,2019,27.2,27.4,21.4,4.0,13.7,6.2,62729.0,2576.0
Bihar,2019,35.1,19.6,7.0,11.3,16.9,10.1,183070.0,3200.0
Chandigarh,2019,0.9,4.0,80.4,0.0,11.9,2.8,127.0,64.0
Chhattisgarh,2019,61.7,8.6,12.9,6.5,5.6,4.7,44911.0,1408.0
Delhi,2019,23.5,29.0,34.1,1.8,1.6,9.9,1403.0,64.0
Goa,2019,18.3,19.6,45.3,4.9,1.5,10.3,1271.0,192.0
Gujarat,2019,45.2,11.6,15.2,14.7,5.6,7.6,72099.0,1664.0
Haryana,2019,29.8,17.4,23.3,5.0,16.8,7.7,33570.0,1328.0
Himachal Pradesh,2019,34.2,13.5,29.0,1.3,14.8,7.2,15050.0,1656.0
Jammu and Kashmir,2019,21.1,22.4,31.4,0.3,21.2,3.6,18836.0,1848.0
Jharkhand,2019,47.5,14.5,10.6,0.9,16.1,10.5,52977.0,1663.0
Karnataka,2019,41.5,13.2,12.7,16.5,8.4,7.8,84988.0,1792.0
Kerala,2019,13.8,20.0,21.8,8.0,17.2,19.3,45807.0,2096.0
Ladakh,2019,23.2,8.0,58.3,0.0,10.6,0.0,370.0,48.0
Lakshadweep,2019,7.3,12.3,61.2,0.0,19.1,0.0,19.0,24.0
Madhya Pradesh,2019,51.1,9.5,6.7,14.3,13.7,4.6,109686.0,2632.0
Maharashtra,2019,40.9,10.1,15.1,23.0,6.1,4.7,136622.0,3432.0
Manipur,2019,37.9,21.9,27.3,0.8,6.7,5.5,4351.0,1224.0
Meghalaya,2019,35.1,12.8,16.0,15.5,16.5,4.1,5157.0,824.0
Mizoram,2019,53.9,20.8,19.3,2.0,3.8,0.2,1141.0,512.0
Nagaland,2019,36.9,17.2,31.7,0.0,1.9,12.3,2925.0,576.0
Odisha,2019,35.0,16.3,11.1,5.2,16.1,16.3,86040.0,2768.0
Puducherry,2019,17.6,20.1,31.7,5.5,8.4,16.7,1035.0,128.0
Punjab,2019,20.4,22.8,17.8,10.4,17.5,11.0,36537.0,1536.0
Rajasthan,2019,48.9,16.0,11.6,4.5,11.2,7.7,103525.0,2487.0
Sikkim,2019,30.9,12.1,43.9,0.9,8.6,3.5,1130.0,448.0
Tamil Nadu,2019,21.3,13.6,20.4,15.6,18.0,11.1,105196.0,3136.0
Telangana,2019,39.2,12.8,9.1,24.9,4.0,10.0,55248.0,1272.0
Dadra and Nagar Haveli and Daman and Diu,2019,7.05,13.5,65.2,0.5,9.1,4.65,556.0,128.0
Tripura,2019,33.8,21.1,12.4,9.0,17.1,6.5,6794.0,1208.0
Uttar Pradesh,2019,49.5,13.6,7.9,5.4,15.4,8.1,286864.0,5823.0
Uttarakhand,2019,46.8,16.0,18.0,2.3,7.5,9.4,15982.0,960.0
West Bengal,2019,24.1,21.0,14.6,18.9,12.9,8.4,159887.0,3095.0
Andaman and Nicobar Islands,2018,11.1,20.3,46.9,0.5,11.7,9.5,606.0,240.0
Andhra Pradesh,2018,21.3,14.2,14.2,20.4,11.3,18.5,94884.0,2160.0
Arunachal Pradesh,2018,51.4,18.9,25.2,1.4,1.9,1.2,2337.0,1088.0
Assam,2018,30.0,24.9,23.9,3.6,14.2,3.4,60239.0,2624.0
Bihar,2018,35.1,19.0,7.6,14.1,15.9,8.3,178266.0,3179.0
Chandigarh,2018,6.2,17.7,55.0,1.4,15.0,4.6,106.0,64.0
Chhattisgarh,2018,58.8,10.5,11.8,4.4,9.4,5.0,43012.0,1373.0
Delhi,2018,7.7,49.0,36.4,0.1,1.1,5.7,1658.0,64.0
Goa,2018,6.8,26.1,48.1,0.3,2.0,16.7,1317.0,192.0
Gujarat,2018,47.8,13.2,14.6,13.3,4.2,6.8,67512.0,1483.0
Haryana,2018,23.1,21.2,26.5,8.6,13.4,7.2,32969.0,1333.0
