state,year,gender,gender_key,class_group,class_group_key,ger_ratio
Delhi,2013,Girls,girls,Classes IX-X (14-15 Years),classes_ix_x,
Delhi,2013,Girls,girls,Classes I-X (6-15 Years),classes_i_x,
Delhi,2013,Girls,girls,Classes XI-XII (16-17  Years),classes_xi_xii,
Delhi,2013,Girls,girls,Classes IX-XII (14-17  Years),classes_ix_xii,
Delhi,2013,Girls,girls,Classes I-XII (6-17 Years),classes_i_xii,
Delhi,2013,Total,total,Classes I-VIII (6-13 Years),classes_i_viii,
Delhi,2013,Total,total,Classes IX-X (14-15 Years),classes_ix_x,
Delhi,2013,Total,total,Classes I-X (6-15 Years),classes_i_x,
Delhi,2013,Total,total,Classes XI-XII (16-17  Years),classes_xi_xii,
Delhi,2013,Total,total,Classes IX-XII (14-17  Years),classes_ix_xii,
Delhi,2013,Total,total,Classes I-XII (6-17 Years),classes_i_xii,
Goa,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,16011.8
Goa,2013,Boys,boys,Classes IX-X (14-15 Years),classes_ix_x,17643.6
Goa,2013,Boys,boys,Classes I-X (6-15 Years),classes_i_x,16264.6
Goa,2013,Boys,boys,Classes XI-XII (16-17  Years),classes_xi_xii,5908.7
Goa,2013,Boys,boys,Classes IX-XII (14-17  Years),classes_ix_xii,10131.7
Goa,2013,Boys,boys,Classes I-XII (6-17 Years),classes_i_xii,14027.4
Goa,2013,Girls,girls,Classes I-VIII (6-13 Years),classes_i_viii,12190.5
Goa,2013,Girls,girls,Classes IX-X (14-15 Years),classes_ix_x,11808.0
Goa,2013,Girls,girls,Classes I-X (6-15 Years),classes_i_x,12120.5
Goa,2013,Girls,girls,Classes XI-XII (16-17  Years),classes_xi_xii,8813.5
Goa,2013,Girls,girls,Classes IX-XII (14-17  Years),classes_ix_xii,10435.7
Goa,2013,Girls,girls,Classes I-XII (6-17 Years),classes_i_xii,11677.0
Goa,2013,Total,total,Classes I-VIII (6-13 Years),classes_i_viii,13942.5
Goa,2013,Total,total,Classes IX-X (14-15 Years),classes_ix_x,14195.8
Goa,2013,Total,total,Classes I-X (6-15 Years),classes_i_x,13985.7
Goa,2013,Total,total,Classes XI-XII (16-17  Years),classes_xi_xii,7091.4
Goa,2013,Total,total,Classes IX-XII (14-17  Years),classes_ix_xii,10280.5
Goa,2013,Total,total,Classes I-XII (6-17 Years),classes_i_xii,12792.9
Gujarat,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,108.8
Gujarat,2013,Boys,boys,Classes IX-X (14-15 Years),classes_ix_x,52.5
Gujarat,2013,Boys,boys,Classes I-X (6-15 Years),classes_i_x,98.1
Gujarat,2013,Boys,boys,Classes XI-XII (16-17  Years),classes_xi_xii,33.2
Gujarat,2013,Boys,boys,Classes IX-XII (14-17  Years),classes_ix_xii,43.5
Gujarat,2013,Boys,boys,Classes I-XII (6-17 Years),classes_i_xii,88.8
Gujarat,2013,Girls,girls,Classes I-VIII (6-13 Years),classes_i_viii,109.4
Gujarat,2013,Girls,girls,Classes IX-X (14-15 Years),classes_ix_x,51.9
Gujarat,2013,Girls,girls,Classes I-X (6-15 Years),classes_i_x,98.5
Gujarat,2013,Girls,girls,Classes XI-XII (16-17  Years),classes_xi_xii,29.5
Gujarat,2013,Girls,girls,Classes IX-XII (14-17  Years),classes_ix_xii,41.4
Gujarat,2013,Girls,girls,Classes I-XII (6-17 Years),classes_i_xii,88.7
Gujarat,2013,Total,total,Classes I-VIII (6-13 Years),classes_i_viii,109.1
Gujarat,2013,Total,total,Classes IX-X (14-15 Years),classes_ix_x,52.2
Gujarat,2013,Total,total,Classes I-X (6-15 Years),classes_i_x,98.3
Gujarat,2013,Total,total,Classes XI-XII (16-17  Years),classes_xi_xii,31.4
Gujarat,2013,Total,total,Classes IX-XII (14-17  Years),classes_ix_xii,42.5
Gujarat,2013,Total,total,Classes I-XII (6-17 Years),classes_i_xii,88.7
Haryana,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,
Haryana,2013,Boys,boys,Classes IX-X (14-15 Years),classes_ix_x,
Haryana,2013,Boys,boys,Classes I-X (6-15 Years),classes_i_x,
Haryana,2013,Boys,boys,Classes XI-XII (16-17  Years),classes_xi_xii,
Haryana,2013,Boys,boys,Classes IX-XII (14-17  Years),classes_ix_xii,
Haryana,2013,Boys,boys,Classes I-XII (6-17 Years),classes_i_xii,
Haryana,2013,Girls,girls,Classes I-VIII (6-13 Years),classes_i_viii,
Haryana,2013,Girls,girls,Classes IX-X (14-15 Years),classes_ix_x,
Haryana,2013,Girls,girls,Classes I-X (6-15 Years),classes_i_x,
Haryana,2013,Girls,girls,Classes XI-XII (16-17  Years),classes_xi_xii,
Haryana,2013,Girls,girls,Classes IX-XII (14-17  Years),classes_ix_xii,
Haryana,2013,Girls,girls,Classes I-XII (6-17 Years),classes_i_xii,
Haryana,2013,Total,total,Classes I-VIII (6-13 Years),classes_i_viii,
Haryana,2013,Total,total,Classes IX-X (14-15 Years),classes_ix_x,
Haryana,2013,Total,total,Classes I-X (6-15 Years),classes_i_x,
Haryana,2013,Total,total,Classes XI-XII (16-17  Years),classes_xi_xii,
Haryana,2013,Total,total,Classes IX-XII (14-17  Years),classes_ix_xii,
Haryana,2013,Total,total,Classes I-XII (6-17 Years),classes_i_xii,
Himachal Pradesh,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,148.2
Himachal Pradesh,2013,Boys,boys,Classes IX-X (14-15 Years),classes_ix_x,137.1
Himachal Pradesh,2013,Boys,boys,Classes I-X (6-15 Years),classes_i_x,146.0
Himachal Pradesh,2013,Boys,boys,Classes XI-XII (16-17  Years),classes_xi_xii,116.4
Himachal Pradesh,2013,Boys,boys,Classes IX-XII (14-17  Years),classes_ix_xii,126.8
Himachal Pradesh,2013,Boys,boys,Classes I-XII (6-17 Years),classes_i_xii,141.0
Himachal Pradesh,2013,Girls,girls,Classes I-VIII (6-13 Years),classes_i_viii,145.7
Himachal Pradesh,2013,Girls,girls,Classes IX-X (14-15 Years),classes_ix_x,139.2
Himachal Pradesh,2013,Girls,girls,Classes I-X (6-15 Years),classes_i_x,144.4
Himachal Pradesh,2013,Girls,girls,Classes XI-XII (16-17  Years),classes_xi_xii,101.6
Himachal Pradesh,2013,Girls,girls,Classes IX-XII (14-17  Years),classes_ix_xii,119.9
Himachal Pradesh,2013,Girls,girls,Classes I-XII (6-17 Years),classes_i_xii,136.8
Himachal Pradesh,2013,Total,total,Classes I-VIII (6-13 Years),classes_i_viii,147.0
Himachal Pradesh,2013,Total,total,Classes IX-X (14-15 Years),classes_ix_x,138.2
Himachal Pradesh,2013,Total,total,Classes I-X (6-15 Years),classes_i_x,145.2
Himachal Pradesh,2013,Total,total,Classes XI-XII (16-17  Years),classes_xi_xii,108.9
Himachal Pradesh,2013,Total,total,Classes IX-XII (14-17  Years),classes_ix_xii,123.4
