state,year,gender,gender_key,employment_indicator,employment_indicator_key,employment_indicator_value_per_1000
Assam,2013,Male,male,Proportion Unemployed (PU),pu,25.0
Assam,2013,Male,male,Worker population ratio (WPR),wpr,562.0
Bihar,2013,Male,male,Labour force participation rate (LFPR),lfpr,565.0
Bihar,2013,Male,male,Proportion Unemployed (PU),pu,20.0
Bihar,2013,Male,male,Worker population ratio (WPR),wpr,545.0
Chandigarh,2013,Male,male,Labour force participation rate (LFPR),lfpr,
Chandigarh,2013,Male,male,Proportion Unemployed (PU),pu,
Chandigarh,2013,Male,male,Worker population ratio (WPR),wpr,
Chhattisgarh,2013,Male,male,Labour force participation rate (LFPR),lfpr,511.0
Chhattisgarh,2013,Male,male,Proportion Unemployed (PU),pu,0.0
Chhattisgarh,2013,Male,male,Worker population ratio (WPR),wpr,510.0
Dadra and Nagar Haveli,2013,Male,male,Labour force participation rate (LFPR),lfpr,596.0
Dadra and Nagar Haveli,2013,Male,male,Proportion Unemployed (PU),pu,30.0
Dadra and Nagar Haveli,2013,Male,male,Worker population ratio (WPR),wpr,565.0
Daman and Diu,2013,Male,male,Labour force participation rate (LFPR),lfpr,565.0
Daman and Diu,2013,Male,male,Proportion Unemployed (PU),pu,36.0
Daman and Diu,2013,Male,male,Worker population ratio (WPR),wpr,528.0
Delhi,2013,Male,male,Labour force participation rate (LFPR),lfpr,605.0
Delhi,2013,Male,male,Proportion Unemployed (PU),pu,0.0
Delhi,2013,Male,male,Worker population ratio (WPR),wpr,605.0
Goa,2013,Male,male,Labour force participation rate (LFPR),lfpr,560.0
Goa,2013,Male,male,Proportion Unemployed (PU),pu,29.0
Goa,2013,Male,male,Worker population ratio (WPR),wpr,531.0
Gujarat,2013,Male,male,Labour force participation rate (LFPR),lfpr,567.0
Gujarat,2013,Male,male,Proportion Unemployed (PU),pu,9.0
Gujarat,2013,Male,male,Worker population ratio (WPR),wpr,558.0
Haryana,2013,Male,male,Labour force participation rate (LFPR),lfpr,595.0
Haryana,2013,Male,male,Proportion Unemployed (PU),pu,0.0
Haryana,2013,Male,male,Worker population ratio (WPR),wpr,595.0
Himachal Pradesh,2013,Male,male,Labour force participation rate (LFPR),lfpr,610.0
Himachal Pradesh,2013,Male,male,Proportion Unemployed (PU),pu,17.0
