sample,education_variable,outcome_variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r
all_states,GER classes I-VIII,LFPR,26,-0.0849,0.6802,-0.0527,0.7983,0.0849
all_states,GER classes I-VIII,Female LFPR,26,-0.0839,0.6836,-0.0465,0.8215,0.0839
all_states,GER classes IX-XII,Female unemployment,26,0.0764,0.7108,0.0427,0.8358,0.0764
all_states,ST literacy rate,Urban ST BPL,17,0.0713,0.7856,0.2121,0.4137,0.0713
all_states,Primary dropout,WPR,30,-0.0699,0.7137,0.0235,0.9021,0.0699
all_states,Upper-primary dropout,MGNREG unmet demand,33,-0.0682,0.7062,0.0876,0.6278,0.0682
all_states,Female literacy gap,Rural ST BPL,18,0.0682,0.7881,0.1187,0.639,0.0682
all_states,Primary dropout,Female LFPR,30,-0.063,0.741,0.0739,0.698,0.063
all_states,Primary dropout,Unemployment,30,-0.0594,0.7553,-0.0188,0.9214,0.0594
all_states,GER classes I-VIII,WPR,26,-0.0479,0.8163,-0.0178,0.9313,0.0479
all_states,Primary dropout,Female WPR,30,-0.0471,0.8049,0.1083,0.569,0.0471
all_states,GER classes I-VIII,Female WPR,26,-0.0438,0.8317,-0.0253,0.9023,0.0438
all_states,Literacy gap,MGNREG unmet demand,27,0.0391,0.8465,0.0574,0.776,0.0391
all_states,Literacy gap,Urban ST BPL,17,-0.0373,0.887,0.0454,0.8626,0.0373
all_states,Upper-primary female enrolment share,LFPR,29,0.0332,0.8642,-0.1227,0.526,0.0332
all_states,GER classes I-VIII,MGNREG unmet demand,27,-0.0292,0.8849,-0.0183,0.9278,0.0292
all_states,Upper-primary female enrolment share,WPR,29,-0.0282,0.8845,-0.1288,0.5054,0.0282
all_states,Secondary dropout,MGNREG average days worked,33,0.0279,0.8773,-0.0279,0.8774,0.0279
all_states,Secondary dropout,MGNREG unmet demand,33,-0.0258,0.8869,0.1801,0.3159,0.0258
all_states,GER classes IX-XII,Unemployment,26,-0.0221,0.9145,-0.0057,0.9781,0.0221
all_states,Upper-primary female enrolment share,Female LFPR,29,0.0166,0.9319,-0.0687,0.7231,0.0166
all_states,GER classes I-VIII,Rural ST BPL,17,-0.0156,0.9526,0.0196,0.9405,0.0156
all_states,Upper-primary female enrolment share,Female WPR,29,-0.0074,0.9695,-0.1017,0.5995,0.0074
high_st_states,GER classes I-VIII,Mean ST BPL,9,0.7172,0.0296,0.4667,0.2054,0.7172
high_st_states,GER classes I-VIII,Rural ST BPL,9,0.7134,0.0309,0.6333,0.0671,0.7134
high_st_states,GER classes I-VIII,Urban ST BPL,9,0.6489,0.0586,0.3667,0.3317,0.6489
high_st_states,Female ST literacy,Female unemployment,18,0.6291,0.0052,0.7286,0.0006,0.6291
high_st_states,Female ST literacy,Unemployment,18,0.6272,0.0053,0.7053,0.0011,0.6272
high_st_states,ST literacy rate,Unemployment,18,0.6177,0.0063,0.7334,0.0005,0.6177
high_st_states,ST literacy rate,Female unemployment,18,0.5984,0.0087,0.7543,0.0003,0.5984
high_st_states,Literacy gap,WPR,18,0.5387,0.0211,0.4079,0.0929,0.5387
high_st_states,ST literacy rate,MGNREG unmet demand,18,-0.5271,0.0246,-0.5041,0.0329,0.5271
high_st_states,Secondary dropout,Mean ST BPL,9,0.5266,0.1453,0.55,0.125,0.5266
high_st_states,Female literacy gap,Female unemployment,18,-0.5173,0.0279,-0.6528,0.0033,0.5173
high_st_states,Secondary dropout,MGNREG unmet demand,19,0.5114,0.0252,0.4702,0.0422,0.5114
high_st_states,Secondary dropout,WPR,18,0.5091,0.0309,0.6174,0.0063,0.5091
high_st_states,Secondary dropout,Rural ST BPL,9,0.5051,0.1654,0.5833,0.0992,0.5051
high_st_states,Secondary dropout,Urban ST BPL,9,0.5019,0.1686,0.5167,0.1544,0.5019
high_st_states,ST literacy rate,Female WPR,18,-0.4972,0.0358,-0.4713,0.0483,0.4972
high_st_states,Literacy gap,MGNREG average days worked,18,-0.4961,0.0363,-0.465,0.0518,0.4961
high_st_states,Secondary dropout,LFPR,18,0.4952,0.0367,0.6322,0.0049,0.4952
